cog_id,root,Dscore,Statistic,Pvalue,AdjPvalue,clade_name,protein_id,ssp_id,preferred_name
NOG281415,1,0.86240000000000006,7.282,1.65e-13,1.05e-9,melanogaster complex,FBpp0084932,7227,CG31031
NOG82057,1,0.9047,7.281,1.65e-13,1.05e-9,melanogaster complex,FBpp0111660,7227,CG34444
NOG83722,1,0.8222,7.272,1.78e-13,1.13e-9,melanogaster complex,FBpp0110254,7227,CG34138
NOG281205,1,0.8306,7.249,2.1e-13,1.34e-9,melanogaster complex,FBpp0083957,7227,CG17786
NOG82034,1,0.873,7.182,3.44e-13,2.19e-9,melanogaster complex,FBpp0289232,7227,CG42356
NOG82034,1,0.873,7.182,3.44e-13,2.19e-9,melanogaster complex,FBpp0289307,7227,CG34259
NOG84293,1,0.8821,7.155,4.19e-13,2.67e-9,melanogaster complex,FBpp0085749,7227,CG33454
NOG59184,1,0.7671,7.149,4.36e-13,2.78e-9,melanogaster complex,FBpp0086675,7227,Arc2
NOG59184,1,0.7671,7.149,4.36e-13,2.78e-9,melanogaster complex,FBpp0086687,7227,Arc1
NOG87123,1,0.7798,7.146,4.47e-13,2.85e-9,melanogaster complex,FBpp0110247,7227,CG34137
NOG282558,1,0.8306,7.111,5.76e-13,3.67e-9,melanogaster complex,FBpp0292121,7227,CG42714
NOG91775,1,0.8306,7.088,6.78e-13,4.32e-9,melanogaster complex,FBpp0110339,7227,CG34155
NOG232961,1,0.7871,7.082,7.09e-13,4.52e-9,melanogaster complex,FBpp0289235,7227,CG42359
NOG281046,1,0.8306,7.074,7.53e-13,4.79e-9,melanogaster complex,FBpp0291480,7227,CG42633
KOG4669,1,0.6967,6.84,3.96e-12,2.52e-8,melanogaster complex,FBpp0100184,7227,mt:ND4L
NOG02879,1,0.7326,6.825,4.38e-12,2.79e-8,melanogaster complex,FBpp0302771,7227,4E-T
NOG84396,1,0.8095,6.822,4.48e-12,2.85e-8,melanogaster complex,FBpp0075018,7227,CG32170
NOG26473,1,0.7115,6.798,5.31e-12,3.38e-8,melanogaster complex,FBpp0078905,7227,Tig
NOG281935,1,0.7671,6.766,6.61e-12,4.21e-8,melanogaster complex,FBpp0083256,7227,mira
NOG272413,1,0.7681,6.762,6.8e-12,4.33e-8,melanogaster complex,FBpp0073710,7227,CG11584
NOG245451,1,0.7042,6.67,1.28e-11,8.15e-8,melanogaster complex,FBpp0297205,7227,CG43191
KOG4726,1,0.6962,6.666,1.31e-11,8.37e-8,melanogaster complex,FBpp0071649,7227,CG13494
KOG4726,1,0.6962,6.666,1.31e-11,8.37e-8,melanogaster complex,FBpp0081106,7227,Mst84Dc
NOG27624,1,0.6565,6.416,7e-11,4.46e-7,melanogaster complex,FBpp0082031,7227,CG10014
NOG28911,1,0.6619,6.297,1.52e-10,9.69e-7,melanogaster complex,FBpp0073733,7227,CG9411
NOG271543,1,0.6407,6.273,1.77e-10,1.13e-6,melanogaster complex,FBpp0288510,7227,CG33003
NOG17279,1,0.6047,6.028,8.29e-10,5.28e-6,melanogaster complex,FBpp0074851,7227,CG14073
COG0838,1,0.532,5.968,1.2e-9,7.63e-6,melanogaster complex,FBpp0100181,7227,mt:ND3
NOG34912,1,0.6084,5.928,1.53e-9,9.76e-6,melanogaster complex,FBpp0271691,7227,CG42231
NOG269291,1,0.5639,5.924,1.57e-9,1e-5,melanogaster complex,FBpp0080135,7227,CG16885
NOG34334,1,0.5382,5.721,5.3e-9,3.38e-5,melanogaster complex,FBpp0289809,7227,CG42495
COG1008,1,0.4555,5.187,1.07e-7,6.81e-4,melanogaster complex,FBpp0100183,7227,mt:ND4
COG0356,1,0.4662,5.081,1.88e-7,0.0012,melanogaster complex,FBpp0100179,7227,mt:ATPase6
COG1290,1,0.4202,4.836,6.62e-7,0.00422,melanogaster complex,FBpp0100186,7227,mt:Cyt-b
COG1622,1,0.3918,4.619,1.92e-6,0.0123,melanogaster complex,FBpp0100177,7227,mt:CoII
COG1005,1,0.3777,4.449,4.31e-6,0.0274,melanogaster complex,FBpp0100187,7227,mt:ND1
COG0843,1,0.3186,3.919,4.45e-5,0.283,melanogaster complex,FBpp0100176,7227,mt:CoI
COG1845,1,0.2713,3.31,4.67e-4,1,melanogaster complex,FBpp0100180,7227,mt:CoIII
NOG272131,1,0.2596,3.039,0.00119,1,melanogaster complex,FBpp0289851,7227,CG42498
COG1007,1,0.1922,2.54,0.00555,1,melanogaster complex,FBpp0100175,7227,mt:ND2
COG1007,1,0.1922,2.54,0.00555,1,melanogaster complex,FBpp0100182,7227,mt:ND5
NOG82260,2,0.9682,8.12,2.33e-16,1.49e-12,melanogaster subgroup,FBpp0297705,7227,CG11570
NOG267792,2,0.9525,7.961,8.55e-16,5.45e-12,melanogaster subgroup,FBpp0289733,7227,CG42397
NOG82876,2,0.9682,7.941,1e-15,6.4e-12,melanogaster subgroup,FBpp0071037,7227,CG12689
NOG283040,2,0.9682,7.939,1.02e-15,6.48e-12,melanogaster subgroup,FBpp0075827,7227,Sgs3
NOG85043,2,0.9525,7.914,1.25e-15,7.95e-12,melanogaster subgroup,FBpp0076916,7227,lcs
NOG87218,2,0.9492,7.883,1.6e-15,1.02e-11,melanogaster subgroup,FBpp0298045,7227,CG33914
NOG88372,2,0.9259,7.868,1.8e-15,1.15e-11,melanogaster subgroup,FBpp0084439,7227,CG14252
NOG86595,2,0.9492,7.865,1.85e-15,1.18e-11,melanogaster subgroup,FBpp0082873,7227,CG31418
NOG86595,2,0.9492,7.865,1.85e-15,1.18e-11,melanogaster subgroup,FBpp0301286,7227,CG31419
NOG94665,2,0.9365,7.833,2.38e-15,1.51e-11,melanogaster subgroup,FBpp0304499,7227,pim
NOG231430,2,0.9492,7.829,2.45e-15,1.56e-11,melanogaster subgroup,FBpp0085835,7227,CG33136
NOG233408,2,0.9365,7.826,2.51e-15,1.6e-11,melanogaster subgroup,FBpp0077642,7227,CG5139
NOG87040,2,0.9682,7.808,2.89e-15,1.84e-11,melanogaster subgroup,FBpp0072467,7227,CG13884
NOG87153,2,0.9492,7.806,2.96e-15,1.89e-11,melanogaster subgroup,FBpp0071016,7227,CG11368
NOG238654,2,0.9259,7.794,3.24e-15,2.06e-11,melanogaster subgroup,FBpp0086324,7227,CG30099
NOG78490,2,0.9101,7.775,3.78e-15,2.41e-11,melanogaster subgroup,FBpp0304360,7227,CG32107
NOG77837,2,0.9492,7.771,3.89e-15,2.48e-11,melanogaster subgroup,FBpp0087860,7227,udd
NOG104779,2,0.9492,7.768,3.98e-15,2.53e-11,melanogaster subgroup,FBpp0075407,7227,CG13457
NOG281738,2,0.9682,7.764,4.12e-15,2.62e-11,melanogaster subgroup,FBpp0084794,7227,Diedel
NOG84785,2,0.9492,7.757,4.34e-15,2.76e-11,melanogaster subgroup,FBpp0111405,7227,CG34296
NOG255763,2,0.9492,7.709,6.33e-15,4.03e-11,melanogaster subgroup,FBpp0085581,7227,CG30151
NOG284326,2,0.9365,7.705,6.56e-15,4.18e-11,melanogaster subgroup,FBpp0293730,7227,CG43127
NOG69731,2,1,7.704,6.58e-15,4.19e-11,melanogaster subgroup,FBpp0292016,7227,CG32814
NOG114415,2,0.9492,7.701,6.77e-15,4.31e-11,melanogaster subgroup,FBpp0289966,7227,CG11977
NOG87289,2,0.9365,7.694,7.12e-15,4.53e-11,melanogaster subgroup,FBpp0088683,7227,dj
NOG86425,2,0.9492,7.672,8.49e-15,5.41e-11,melanogaster subgroup,FBpp0087878,7227,CG2291
NOG283670,2,0.9101,7.664,8.99e-15,5.73e-11,melanogaster subgroup,FBpp0071244,7227,CG15369
NOG104251,2,0.8889,7.657,9.53e-15,6.07e-11,melanogaster subgroup,FBpp0305696,7227,CG34310
NOG282444,2,1,7.657,9.53e-15,6.07e-11,melanogaster subgroup,FBpp0073867,7227,CG8119
NOG281370,2,0.9682,7.634,1.14e-14,7.25e-11,melanogaster subgroup,FBpp0086279,7227,CG33017
NOG87516,2,0.9101,7.629,1.18e-14,7.52e-11,melanogaster subgroup,FBpp0297291,7227,CG43219
NOG82249,2,0.9682,7.617,1.3e-14,8.27e-11,melanogaster subgroup,FBpp0075477,7227,CG32141
NOG87596,2,0.9365,7.612,1.35e-14,8.6e-11,melanogaster subgroup,FBpp0076275,7227,CG5194
NOG247696,2,0.9365,7.61,1.37e-14,8.7e-11,melanogaster subgroup,FBpp0086962,7227,wuc
NOG103013,2,0.8942,7.582,1.7e-14,1.08e-10,melanogaster subgroup,FBpp0075240,7227,CG13073
NOG271754,2,0.9342,7.554,2.11e-14,1.34e-10,melanogaster subgroup,FBpp0070699,7227,CG2861
NOG83524,2,0.9492,7.546,2.25e-14,1.43e-10,melanogaster subgroup,FBpp0074147,7227,CG13010
NOG281613,2,0.8911,7.527,2.6e-14,1.66e-10,melanogaster subgroup,FBpp0085906,7227,CG15068
NOG85877,2,0.9682,7.514,2.86e-14,1.82e-10,melanogaster subgroup,FBpp0080094,7227,CG15638
NOG260216,2,0.9365,7.473,3.92e-14,2.49e-10,melanogaster subgroup,FBpp0082224,7227,CG14377
NOG260216,2,0.9365,7.473,3.92e-14,2.49e-10,melanogaster subgroup,FBpp0082229,7227,CG14374
NOG280881,2,0.8857,7.471,3.97e-14,2.53e-10,melanogaster subgroup,FBpp0074259,7227,corolla
NOG282171,2,0.8942,7.46,4.34e-14,2.76e-10,melanogaster subgroup,FBpp0111362,7227,CG34253
NOG88996,2,0.8889,7.446,4.8e-14,3.06e-10,melanogaster subgroup,FBpp0091021,7227,CG33725
NOG239428,2,0.9047,7.422,5.75e-14,3.66e-10,melanogaster subgroup,FBpp0304468,7227,CG31542
NOG284315,2,0.9492,7.415,6.08e-14,3.87e-10,melanogaster subgroup,FBpp0292500,7227,CG31808
NOG87714,2,0.8857,7.407,6.47e-14,4.12e-10,melanogaster subgroup,FBpp0074436,7227,CG14191
NOG282361,2,0.8572,7.307,1.36e-13,8.68e-10,melanogaster subgroup,FBpp0079717,7227,CG7294
NOG33657,2,0.8025,7.263,1.89e-13,1.2e-9,melanogaster subgroup,FBpp0289248,7227,CG42372
NOG282818,2,0.873,7.207,2.86e-13,1.82e-9,melanogaster subgroup,FBpp0082100,7227,CG5538
NOG272506,2,0.7596,7.102,6.14e-13,3.91e-9,melanogaster subgroup,FBpp0112436,7227,Scp1
NOG88373,2,0.8306,7.089,6.73e-13,4.29e-9,melanogaster subgroup,FBpp0070145,7227,CG13362
NOG269355,2,0.7145,7.082,7.12e-13,4.54e-9,melanogaster subgroup,FBpp0075338,7227,Eig71Ee
NOG38852,2,0.6636,6.399,7.83e-11,4.98e-7,melanogaster subgroup,FBpp0289266,7227,CG42381
NOG85339,3,0.9682,8.009,5.77e-16,3.68e-12,ananassae subgroup,FBpp0304437,7227,Sprn
NOG86615,3,1,7.996,6.45e-16,4.11e-12,ananassae subgroup,FBpp0297757,7227,CG43317
NOG87721,3,0.9682,7.971,7.88e-16,5.02e-12,ananassae subgroup,FBpp0298354,7227,CG15699
NOG87257,3,0.9365,7.963,8.36e-16,5.33e-12,ananassae subgroup,FBpp0080228,7227,CG4218
NOG84005,3,0.9365,7.957,8.84e-16,5.63e-12,ananassae subgroup,FBpp0288524,7227,CG17777
NOG84268,3,0.9492,7.941,1.01e-15,6.4e-12,ananassae subgroup,FBpp0080508,7227,CG6304
NOG83611,3,0.9492,7.932,1.08e-15,6.88e-12,ananassae subgroup,FBpp0075188,7227,CG13039
NOG84828,3,0.9492,7.926,1.13e-15,7.18e-12,ananassae subgroup,FBpp0071022,7227,CG15034
NOG284379,3,0.9682,7.905,1.34e-15,8.54e-12,ananassae subgroup,FBpp0072760,7227,CG32302
NOG239431,3,0.9682,7.901,1.38e-15,8.8e-12,ananassae subgroup,FBpp0086000,7227,CG30325
NOG282101,3,0.9492,7.895,1.45e-15,9.25e-12,ananassae subgroup,FBpp0079726,7227,CG31870
NOG252957,3,0.9682,7.891,1.5e-15,9.56e-12,ananassae subgroup,FBpp0073548,7227,CG2209
NOG281221,3,0.9365,7.878,1.66e-15,1.06e-11,ananassae subgroup,FBpp0087464,7227,CG18446
NOG82241,3,0.9507,7.876,1.7e-15,1.08e-11,ananassae subgroup,FBpp0111350,7227,CG34241
NOG87435,3,0.9492,7.868,1.81e-15,1.15e-11,ananassae subgroup,FBpp0079446,7227,CG31710
NOG278253,3,1,7.854,2.02e-15,1.28e-11,ananassae subgroup,FBpp0080497,7227,CG31807
NOG135422,3,0.9682,7.853,2.03e-15,1.3e-11,ananassae subgroup,FBpp0082251,7227,CG8508
NOG238666,3,0.9492,7.852,2.06e-15,1.31e-11,ananassae subgroup,FBpp0087876,7227,CG30376
NOG244397,3,0.9365,7.845,2.16e-15,1.38e-11,ananassae subgroup,FBpp0078001,7227,CG32440
NOG240739,3,0.9492,7.832,2.4e-15,1.53e-11,ananassae subgroup,FBpp0071730,7227,CG11298
NOG88562,3,0.9316,7.831,2.41e-15,1.54e-11,ananassae subgroup,FBpp0306060,7227,CG34279
NOG78344,3,0.9365,7.801,3.08e-15,1.96e-11,ananassae subgroup,FBpp0085282,7227,CG1421
NOG84552,3,0.9682,7.796,3.18e-15,2.03e-11,ananassae subgroup,FBpp0290445,7227,CG8065
NOG84007,3,0.9507,7.792,3.31e-15,2.11e-11,ananassae subgroup,FBpp0292116,7227,CG42710
NOG88248,3,0.9365,7.785,3.49e-15,2.22e-11,ananassae subgroup,FBpp0078564,7227,CG31525
NOG255773,3,0.9316,7.785,3.49e-15,2.22e-11,ananassae subgroup,FBpp0290059,7227,CG15734
NOG105781,3,0.9492,7.782,3.56e-15,2.27e-11,ananassae subgroup,FBpp0086139,7227,Gbp
NOG236041,3,0.9682,7.782,3.56e-15,2.27e-11,ananassae subgroup,FBpp0079687,7227,CG6138
NOG245434,3,0.9492,7.778,3.67e-15,2.34e-11,ananassae subgroup,FBpp0079334,7227,CG12438
NOG98371,3,0.9682,7.774,3.81e-15,2.43e-11,ananassae subgroup,FBpp0289684,7227,CG30222
NOG245439,3,0.9492,7.772,3.87e-15,2.47e-11,ananassae subgroup,FBpp0087713,7227,CG13741
NOG54522,3,0.9174,7.761,4.22e-15,2.69e-11,ananassae subgroup,FBpp0288659,7227,CG13896
NOG282404,3,0.9189,7.752,4.52e-15,2.88e-11,ananassae subgroup,FBpp0293485,7227,CG43115
NOG282404,3,0.9189,7.752,4.52e-15,2.88e-11,ananassae subgroup,FBpp0293827,7227,CG43136
NOG87494,3,0.9682,7.751,4.56e-15,2.9e-11,ananassae subgroup,FBpp0292374,7227,CG42752
NOG87533,3,0.9365,7.74,4.96e-15,3.16e-11,ananassae subgroup,FBpp0086281,7227,CG15705
NOG250205,3,0.9492,7.735,5.17e-15,3.29e-11,ananassae subgroup,FBpp0077944,7227,CG12984
NOG87479,3,0.9492,7.735,5.19e-15,3.3e-11,ananassae subgroup,FBpp0070605,7227,CG15375
NOG87479,3,0.9492,7.735,5.19e-15,3.3e-11,ananassae subgroup,FBpp0081885,7227,CG14708
NOG281560,3,0.9365,7.724,5.66e-15,3.6e-11,ananassae subgroup,FBpp0080302,7227,CG15258
NOG266151,3,0.9365,7.721,5.76e-15,3.67e-11,ananassae subgroup,FBpp0304582,7227,CG12535
NOG88986,3,0.9492,7.719,5.87e-15,3.74e-11,ananassae subgroup,FBpp0073846,7227,CG9072
NOG84841,3,0.9492,7.699,6.85e-15,4.37e-11,ananassae subgroup,FBpp0077555,7227,CG17648
NOG230048,3,0.9365,7.676,8.24e-15,5.24e-11,ananassae subgroup,FBpp0088999,7227,CG13064
NOG248730,3,0.9189,7.668,8.77e-15,5.58e-11,ananassae subgroup,FBpp0089286,7227,Obp85a
NOG281565,3,0.9365,7.665,8.96e-15,5.71e-11,ananassae subgroup,FBpp0077020,7227,CG15458
NOG242418,3,0.9365,7.663,9.11e-15,5.8e-11,ananassae subgroup,FBpp0075455,7227,CG13474
NOG85303,3,0.9316,7.661,9.25e-15,5.89e-11,ananassae subgroup,FBpp0291265,7227,CG17169
NOG82001,3,0.9316,7.651,9.99e-15,6.37e-11,ananassae subgroup,FBpp0297198,7227,CG43183
NOG128269,3,0.9507,7.639,1.09e-14,6.95e-11,ananassae subgroup,FBpp0111266,7227,CG34160
NOG88454,3,0.9492,7.632,1.15e-14,7.35e-11,ananassae subgroup,FBpp0071960,7227,yip3
NOG237257,3,0.9365,7.629,1.19e-14,7.55e-11,ananassae subgroup,FBpp0070622,7227,CG12693
NOG237969,3,0.9365,7.628,1.19e-14,7.59e-11,ananassae subgroup,FBpp0086280,7227,CG15704
NOG81998,3,0.9492,7.617,1.3e-14,8.25e-11,ananassae subgroup,FBpp0289540,7227,Sfp53D
NOG78004,3,0.9682,7.617,1.3e-14,8.28e-11,ananassae subgroup,FBpp0078153,7227,CG32450
NOG83421,3,0.9682,7.616,1.31e-14,8.33e-11,ananassae subgroup,FBpp0083232,7227,CG4783
NOG281787,3,0.9365,7.55,2.18e-14,1.39e-10,ananassae subgroup,FBpp0071552,7227,CG4286
NOG244402,3,0.9365,7.542,2.31e-14,1.47e-10,ananassae subgroup,FBpp0293471,7227,CG31805
NOG135447,3,0.9492,7.53,2.54e-14,1.62e-10,ananassae subgroup,FBpp0079747,7227,Acp32CD
NOG87298,3,0.9316,7.528,2.58e-14,1.64e-10,ananassae subgroup,FBpp0091023,7227,CG33757
NOG87298,3,0.9316,7.528,2.58e-14,1.64e-10,ananassae subgroup,FBpp0091024,7227,CG33758
NOG104731,3,0.852,7.523,2.67e-14,1.7e-10,ananassae subgroup,FBpp0292466,7227,RY
NOG83515,3,0.9365,7.521,2.72e-14,1.74e-10,ananassae subgroup,FBpp0085580,7227,CG13427
NOG250190,3,0.9365,7.508,3.01e-14,1.92e-10,ananassae subgroup,FBpp0084612,7227,CG31055
NOG277478,3,0.8645,7.499,3.21e-14,2.05e-10,ananassae subgroup,FBpp0087308,7227,CG12934
NOG88593,3,0.9365,7.484,3.6e-14,2.29e-10,ananassae subgroup,FBpp0084805,7227,CG14506
NOG39452,3,0.866,7.483,3.62e-14,2.31e-10,ananassae subgroup,FBpp0082416,7227,CG14852
NOG87110,3,0.9492,7.479,3.75e-14,2.39e-10,ananassae subgroup,FBpp0112154,7227,CG14907
NOG283031,3,0.9365,7.477,3.81e-14,2.43e-10,ananassae subgroup,FBpp0086311,7227,CG15711
NOG133184,3,0.9365,7.442,4.97e-14,3.16e-10,ananassae subgroup,FBpp0297708,7227,CG13045
NOG84767,3,0.9365,7.437,5.15e-14,3.28e-10,ananassae subgroup,FBpp0084011,7227,CG5762
NOG281588,3,0.9492,7.431,5.4e-14,3.44e-10,ananassae subgroup,FBpp0070502,7227,CG10801
NOG87262,3,0.9365,7.409,6.37e-14,4.06e-10,ananassae subgroup,FBpp0297801,7227,CG43342
NOG133147,3,0.9047,7.397,6.97e-14,4.44e-10,ananassae subgroup,FBpp0075986,7227,CG14154
NOG38895,3,0.8722,7.36,9.2e-14,5.86e-10,ananassae subgroup,FBpp0292128,7227,CG32249
NOG257342,3,0.9365,7.358,9.36e-14,5.96e-10,ananassae subgroup,FBpp0076479,7227,HP4
NOG03397,3,0.9239,7.346,1.02e-13,6.49e-10,ananassae subgroup,FBpp0079830,7227,CG14930
NOG84568,3,0.873,7.315,1.28e-13,8.17e-10,ananassae subgroup,FBpp0300792,7227,CG14218
NOG238610,3,0.8837,7.256,1.99e-13,1.27e-9,ananassae subgroup,FBpp0086571,7227,BEAF-32
NOG268992,3,0.8837,7.241,2.23e-13,1.42e-9,ananassae subgroup,FBpp0073001,7227,CG32267
NOG82263,3,0.9155,7.21,2.81e-13,1.79e-9,ananassae subgroup,FBpp0297217,7227,CG43207
NOG87276,3,0.8837,7.12,5.39e-13,3.43e-9,ananassae subgroup,FBpp0077195,7227,CG15423
NOG36228,3,0.798,6.978,1.5e-12,9.55e-9,ananassae subgroup,FBpp0289853,7227,CG42497
NOG31317,3,0.7233,6.864,3.35e-12,2.13e-8,ananassae subgroup,FBpp0112194,7227,CG11786
NOG38461,3,0.6122,6.292,1.56e-10,9.96e-7,ananassae subgroup,FBpp0289269,7227,CG42380
NOG235477,4,0.9815,8.236,8.92e-17,5.68e-13,obscura group,FBpp0073470,7227,CG12721
NOG244418,4,0.9307,8.159,1.68e-16,1.07e-12,obscura group,FBpp0073303,7227,CG15198
NOG86560,4,0.9682,8.119,2.36e-16,1.5e-12,obscura group,FBpp0290478,7227,CG42560
NOG83473,4,0.9682,8.073,3.44e-16,2.19e-12,obscura group,FBpp0111394,7227,CG34284
NOG238651,4,0.9682,8.037,4.61e-16,2.94e-12,obscura group,FBpp0304491,7227,CG10680
NOG96150,4,0.9682,7.99,6.75e-16,4.3e-12,obscura group,FBpp0074165,7227,CG32563
NOG87559,4,1,7.967,8.16e-16,5.2e-12,obscura group,FBpp0077651,7227,Iris
NOG133194,4,1,7.951,9.28e-16,5.91e-12,obscura group,FBpp0099444,7227,CG34033
NOG255772,4,0.9682,7.947,9.56e-16,6.09e-12,obscura group,FBpp0083633,7227,CG5386
NOG87172,4,0.9492,7.915,1.23e-15,7.86e-12,obscura group,FBpp0079403,7227,CG3748
NOG282346,4,0.9498,7.903,1.36e-15,8.67e-12,obscura group,FBpp0111683,7227,CG13051
NOG281951,4,0.9492,7.886,1.56e-15,9.96e-12,obscura group,FBpp0084682,7227,aqrs
NOG281262,4,0.9682,7.886,1.56e-15,9.96e-12,obscura group,FBpp0084964,7227,ocn
NOG255767,4,0.9498,7.868,1.81e-15,1.15e-11,obscura group,FBpp0305740,7227,CG13053
NOG257358,4,0.9492,7.862,1.88e-15,1.2e-11,obscura group,FBpp0080365,7227,CG31820
NOG257358,4,0.9492,7.862,1.88e-15,1.2e-11,obscura group,FBpp0111273,7227,CG34167
NOG74846,4,1,7.837,2.3e-15,1.47e-11,obscura group,FBpp0082037,7227,CG17738
NOG282237,4,0.9492,7.818,2.67e-15,1.7e-11,obscura group,FBpp0084837,7227,CG11470
NOG84842,4,0.9492,7.812,2.81e-15,1.79e-11,obscura group,FBpp0111293,7227,CG34185
NOG87434,4,0.8937,7.776,3.74e-15,2.38e-11,obscura group,FBpp0079277,7227,CG31898
NOG282399,4,0.9492,7.775,3.78e-15,2.41e-11,obscura group,FBpp0082907,7227,CG14326
NOG88574,4,0.9492,7.773,3.84e-15,2.45e-11,obscura group,FBpp0111282,7227,CG34176
NOG82280,4,0.9682,7.763,4.14e-15,2.64e-11,obscura group,FBpp0084632,7227,CG31253
NOG82280,4,0.9682,7.763,4.14e-15,2.64e-11,obscura group,FBpp0289667,7227,CG31131
